,ID de la réponse,Date de soumission,Dernière page,Langue de départ,Tête de série,Date de lancement,Date de la dernière action,Vous vous identifiez comme : ,Renseignez votre âge. ,Sélectionnez l'académie dans laquelle vous exercez. ,Renseignez votre statut actuel,Renseignez votre statut actuel [Autre],"Si vous avez obtenu un concours, précisez son année d'obtention","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [Classe préparatoire AL ou équivalent]","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [Classe préparatoire BL ou équivalent]","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [Classe préparatoire ECS ou équivalent]","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [Faculté de géographie – niveau licence ou équivalent]","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [Faculté de géographie – niveau master ou équivalent]","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [Faculté d’histoire – niveau licence ou équivalent]","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [Faculté d’histoire – niveau master ou équivalent]","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [Faculté dans une autre discipline – niveau licence ou équivalent]","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [Faculté dans une autre discipline – niveau master ou équivalent]","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [ENS]","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [IEP]","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [Doctorat en géographie]","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [Doctorat en histoire]","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [Doctorat dans une autre discipline]","Renseignez votre parcours académique avant d’exercer dans l’éducation nationale. Plusieurs cases peuvent être sélectionnées, merci d’être le plus précis.e possible. [Autre]",Vous enseignez en :,"Renseignez le nom de votre lycée et la ville dans laquelle il se situe.  Si vous exercez dans plusieurs établissements, merci de ne renseigner que celui dans lequel vous effectuez la majorité de votre service. ","Votre établissement propose la spécialité histoire-géographie, géopolitique, sciences politiques :","Enseignez-vous la spécialité histoire-géographie, géopolitique, sciences politiques ?","Enseignez-vous la spécialité histoire-géographie, géopolitique, sciences politiques ? [Autre]",Avez-vous reçu une formation à l’enseignement de spécialité ?,Avez-vous reçu une formation à l’enseignement de spécialité ? [Autre],"Si vous avez reçu une formation, précisez de quel type il s'agit et présentez son contenu.","Si vous n’avez pas reçu de formation mais souhaitez en recevoir ou si vous souhaitez en recevoir une autre, précisez ce que vous attendriez de cette formation.","A ce jour, vous considérez vous comme formé.e à la géopolitique et à son enseignement ? [Oui, grâce à ma formation initiale.]","A ce jour, vous considérez vous comme formé.e à la géopolitique et à son enseignement ? [Oui, grâce à la formation continue reçue.]","A ce jour, vous considérez vous comme formé.e à la géopolitique et à son enseignement ? [Oui, par mon travail d'auto-formation]","A ce jour, vous considérez vous comme formé.e à la géopolitique et à son enseignement ? [Non, pas assez]",Vous enseignez la spécialité HGGSP en :,"Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes le plus à l'aise à enseigner : [Thème 1 première - Comprendre un régime politique : la démocratie]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes le plus à l'aise à enseigner : [Thème 2 première - Analyser les dynamiques des puissances internationales]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes le plus à l'aise à enseigner : [Thème 3 première - Étudier les divisions politiques du monde : les frontières]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes le plus à l'aise à enseigner : [Thème 4 première - S’informer : un regard critique sur les sources et modes de communication]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes le plus à l'aise à enseigner : [Thème 5 première - Analyser les relations entre États et religions]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes le plus à l'aise à enseigner : [Thème 1 terminale - De nouveaux espaces de conquête]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes le plus à l'aise à enseigner : [Thème 2 terminale - Faire la guerre, faire la paix : formes de conflits et modes de résolution]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes le plus à l'aise à enseigner : [Thème 3 terminale - Histoire et mémoires]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes le plus à l'aise à enseigner : [Thème 4 terminale - Identifier, protéger et valoriser le patrimoine : enjeux géopolitiques]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes le plus à l'aise à enseigner : [Thème 5 terminale - L’environnement, entre exploitation et protection : un enjeu planétaire]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes le plus à l'aise à enseigner : [Thème 6 terminale -  L’enjeu de la connaissance]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes les moins à l’aise à enseigner : [Thème 1 première - Comprendre un régime politique : la démocratie]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes les moins à l’aise à enseigner : [Thème 2 première - Analyser les dynamiques des puissances internationales]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes les moins à l’aise à enseigner : [Thème 3 première - Étudier les divisions politiques du monde : les frontières]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes les moins à l’aise à enseigner : [Thème 4 première - S’informer : un regard critique sur les sources et modes de communication]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes les moins à l’aise à enseigner : [Thème 5 première - Analyser les relations entre États et religions]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes les moins à l’aise à enseigner : [Thème 1 terminale -  De nouveaux espaces de conquête]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes les moins à l’aise à enseigner : [Thème 2 terminale - Faire la guerre, faire la paix : formes de conflits et modes de résolution]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes les moins à l’aise à enseigner : [Thème 3 terminale -  Histoire et mémoires]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes les moins à l’aise à enseigner : [Thème 4 terminale - Identifier, protéger et valoriser le patrimoine : enjeux géopolitiques]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes les moins à l’aise à enseigner : [Thème 5 terminale - L’environnement, entre exploitation et protection : un enjeu planétaire]","Parmi les thèmes de la spécialité suivants, sélectionnez ceux pour lesquels vous êtes les moins à l’aise à enseigner : [Thème 6 terminale - L’enjeu de la connaissance]",Quelles méthodologies mettez-vous principalement en œuvre dans votre enseignement de la spécialité ?  [Travail de recherche en autonomie],Quelles méthodologies mettez-vous principalement en œuvre dans votre enseignement de la spécialité ?  [Commentaire],Quelles méthodologies mettez-vous principalement en œuvre dans votre enseignement de la spécialité ?  [Travail de recherche en groupe],Quelles méthodologies mettez-vous principalement en œuvre dans votre enseignement de la spécialité ?  [Commentaire].1,Quelles méthodologies mettez-vous principalement en œuvre dans votre enseignement de la spécialité ?  [Présentation orale individuelle],Quelles méthodologies mettez-vous principalement en œuvre dans votre enseignement de la spécialité ?  [Commentaire].2,Quelles méthodologies mettez-vous principalement en œuvre dans votre enseignement de la spécialité ?  [Présentation orale en groupe],Quelles méthodologies mettez-vous principalement en œuvre dans votre enseignement de la spécialité ?  [Commentaire].3,Quelles méthodologies mettez-vous principalement en œuvre dans votre enseignement de la spécialité ?  [Cours magistral],Quelles méthodologies mettez-vous principalement en œuvre dans votre enseignement de la spécialité ?  [Commentaire].4,"Quelles méthodologies mettez-vous principalement en œuvre dans votre enseignement de la spécialité ?  [Autres, merci de préciser.]",Quelles méthodologies mettez-vous principalement en œuvre dans votre enseignement de la spécialité ?  [Commentaire].5,Décrivez les côtés positifs de cet enseignement. ,Décrivez les côtés négatifs de cet enseignement.,L’enseignement de la spécialité influe-t-il sur votre enseignement en tronc commun ? ,"Si oui, précisez comment.",Comment définissez-vous la géopolitique ?,Etablissez-vous une distinction claire entre géopolitique et relations internationales ?,"Si oui, précisez comment cela se traduit dans la conception et dans la mise en œuvre de votre enseignement.",Renseignez le pourcentage d’élèves ayant choisi la spécialité HGGSP en classe de Première dans votre établissement : ,"Selon vous, qu’est-ce qui conduit vos élèves à choisir la spécialité HGGSP en classe de Première ?  [Un réel intérêt pour l'histoire-géographie.]","Selon vous, qu’est-ce qui conduit vos élèves à choisir la spécialité HGGSP en classe de Première ?  [La recherche d'une plus grande culture générale.]","Selon vous, qu’est-ce qui conduit vos élèves à choisir la spécialité HGGSP en classe de Première ?  [Par stratégie pour les résultats et l'obtention du baccalauréat.]","Selon vous, qu’est-ce qui conduit vos élèves à choisir la spécialité HGGSP en classe de Première ?  [Par stratégie pour les études supérieures (spécialité recherchée dans les études envisagées).]","Selon vous, qu’est-ce qui conduit vos élèves à choisir la spécialité HGGSP en classe de Première ?  [Autre]","Parmi les thèmes de spécialité en classe de Première, quels sont les thèmes les plus appréciés par vos élèves ? [Thème 1 première - Comprendre un régime politique : la démocratie]","Parmi les thèmes de spécialité en classe de Première, quels sont les thèmes les plus appréciés par vos élèves ? [Thème 2 première - Analyser les dynamiques des puissances internationales]","Parmi les thèmes de spécialité en classe de Première, quels sont les thèmes les plus appréciés par vos élèves ? [Thème 3 première - Étudier les divisions politiques du monde : les frontières]","Parmi les thèmes de spécialité en classe de Première, quels sont les thèmes les plus appréciés par vos élèves ? [Thème 4 première - S’informer : un regard critique sur les sources et modes de communication]","Parmi les thèmes de spécialité en classe de Première, quels sont les thèmes les plus appréciés par vos élèves ? [Thème 5 première - Analyser les relations entre États et religions]","Parmi les thèmes de spécialité en classe de Première, quels sont les thèmes les plus appréciés par vos élèves ? [Je n'enseigne pas la spécialité HGGSP en classe de première.]",Renseignez le pourcentage d’élèves ayant conservé la spécialité HGGSP en classe de Terminale dans votre établissement.,"Selon vous, qu’est ce qui conduit vos élèves à conserver la spécialité HGGSP en Terminale ?  [Un intérêt poussé pour la spécialité HGGSP.]","Selon vous, qu’est ce qui conduit vos élèves à conserver la spécialité HGGSP en Terminale ?  [La volonté de continuer à développer leur culture générale.]","Selon vous, qu’est ce qui conduit vos élèves à conserver la spécialité HGGSP en Terminale ?  [Par stratégie pour le baccalauréat (""meilleurs"" résultats que dans au moins une des deux autres spécialités de première).]","Selon vous, qu’est ce qui conduit vos élèves à conserver la spécialité HGGSP en Terminale ?  [Par stratégie pour les études supérieures.]","Selon vous, qu’est ce qui conduit vos élèves à conserver la spécialité HGGSP en Terminale ?  [Autre]","Parmi les thèmes de spécialité en Terminale, quels sont les thèmes les plus appréciés par vos élèves ? [Thème 1 terminale -  De nouveaux espaces de conquête]","Parmi les thèmes de spécialité en Terminale, quels sont les thèmes les plus appréciés par vos élèves ? [Thème 2 terminale - Faire la guerre, faire la paix : formes de conflits et modes de résolution]","Parmi les thèmes de spécialité en Terminale, quels sont les thèmes les plus appréciés par vos élèves ? [Thème 3 terminale -  Histoire et mémoires]","Parmi les thèmes de spécialité en Terminale, quels sont les thèmes les plus appréciés par vos élèves ? [Thème 4 terminale - Identifier, protéger et valoriser le patrimoine : enjeux géopolitiques]","Parmi les thèmes de spécialité en Terminale, quels sont les thèmes les plus appréciés par vos élèves ? [Thème 5 terminale - L’environnement, entre exploitation et protection : un enjeu planétaire]","Parmi les thèmes de spécialité en Terminale, quels sont les thèmes les plus appréciés par vos élèves ? [Thème 6 terminale - L’enjeu de la connaissance]","Parmi les thèmes de spécialité en Terminale, quels sont les thèmes les plus appréciés par vos élèves ? [Je n'enseigne pas la spécialité HGGSP en classe de terminale.]",Souhaitez-vous être tenu informé.e des résultats de cette enquête ? ,"Souhaitez-vous participer à un entretien individuel sur cette thématique ?   Vos impressions, vécus et retours sur l'enseignement de la géopolitique me sont essentiels pour avancer plus aisément dans mes recherches. N'hésitez pas à participer !"
0,1,2021-06-10 09:06:03,5,fr,1002251929,2021-06-10 09:03:06,2021-06-10 09:06:03,Une femme,26,Académie de Versailles,Agrégé.e externe en géographie,,2019,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,,Lycée public,"Michel Ange, Villeneuve-la-Garenne",Oui,Pas pour le moment mais je souhaite le faire d'ici quelques années,,Non et je souhaite demander une formation,,,contenu et méthodes,Oui,Non,Oui,Non,en classe de terminale,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,,Non,,Non,,Oui,,Non,,Non,,"autonomie des élèves, approfondissement des sujets...","pas assez de temps, trop de points à aborder",Oui,je mets de la géopo ds le TC,"étude des rapports de pouvoir vis à vis d'un territoire, à toutes les échelles",Oui,RI que enter Etats,Entre 20 et 40%,Oui,Oui,Non,Non,,Non,Non,Non,Non,Non,Oui,Entre 40 et 80% des élèves de première ont conservé la spécialité HHGSP en terminale,Oui,Oui,Non,Non,,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui
1,2,2021-06-10 09:11:47,5,fr,991859487,2021-06-10 09:09:11,2021-06-10 09:11:47,Une femme,24,Académie de Versailles,Contractuel.le,,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Lycée public,"Lycée Michel-Ange, Villeneuve-la-Garenne",Oui,Non imposé,,Non et je souhaite demander une formation,,,"Sur les objectifs à atteindre, sur le contenu du cours et les attendus de l'épreuve.",Non,Non,Non,Oui,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Non,,Non,,Non,,Non,,Non,,,,,,,,,,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,Oui
2,3,2021-06-10 09:48:33,5,fr,609204736,2021-06-10 09:20:23,2021-06-10 09:48:33,Une femme,32,,Agrégé.e externe en géographie,,2014,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Lycée public,Lycée Michel-Ange Villeneuve la Garenne,Oui,"Oui, par choix",,Non et je souhaite demander une formation,,,Des apports épistémologiques sur la géopolitique et la science politique.,Non,Non,Non,Oui,en classe de première,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,"Fiche d’écoute de podcast, fiche de lecture d’article",Oui,Pas très possible en temps de CoVid mais sinon oui ++++,Non,,Oui,,Oui,,Non,,"Intérêt des élèves, questionnements sur la société, sur des problématiques actuelles, réflexion sur des notions intéressantes et complexes (frontière, information)","Peu rigoureux au niveau épistémologique. Donne l’impression aux élèves qu’ils peuvent parler de tout sans creuser, ils aiment le débat pour le débat.",Non,,"Difficilement. Analyse du rôle et des relations entre des acteurs publics et privés sur un territoire, analyse des enjeux de puissance à l’échelle inter étatique ou infra. ",Oui,Les relations internationales donnent une place primordiale à l’État et aux relations entre les États. La géopolitique nécessite une approche pluriscalaire et permet davantage d’introduire le rôle des acteurs privés qui jouent un rôle déterminant dans la gouvernance économique et politique mondiale.,Plus de 40%,Non,Oui,Oui,Non,,Non,Non,Oui,Non,Non,Non,Plus de 80% des élèves de première ont conservé la spécialité HHGSP en terminale,Non,Oui,Oui,Non,,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui
3,4,2021-06-10 10:06:18,5,fr,1238332078,2021-06-10 09:46:58,2021-06-10 10:06:18,Une femme,46,Académie de Versailles,Certifié.e,,1998,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Maîtrise d'Histoire,Lycée public,Lycée Léonard de Vinci Levallois ,Oui,"Oui, par choix",,Autre,Je suis une des formatrices ,,,Oui,Non,Non,Non,en classe de première et de terminale,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,,Oui,,Oui,,Non,,Oui,,Oui,Le travail de groupe ne se limite pas à la recherche ,"Très stimulant, très utile pour développer esprot critique et donner des clefs de compréhension du monde actuel ",Parfois un peu trop complexe pour un élève moyen,Oui,Il l'enrichit,Étude multiscalaire des conflits entre acteurs. ,Oui,Les relations internationales relèvent davantage du champ de la science politique et de l'histoire que la géopolitique qui a un ancrage très géographique. La géopolitique est forcément ancrée dans le territoire. ,Plus de 40%,Oui,Oui,Oui,Non,Par défaut (ne rien prendre de scientifique) ,Non,Oui,Non,Oui,Non,Non,Plus de 80% des élèves de première ont conservé la spécialité HHGSP en terminale,Oui,Oui,Oui,Non,,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Oui
4,6,2021-06-10 11:41:31,5,fr,772609378,2021-06-10 11:28:40,2021-06-10 11:41:31,Une femme,49,Académie de Paris,Agrégé.e externe en géographie,,1999,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Lycée public,"Lycée Gabriel Fauré, Paris (XIII)",Oui,Pas pour le moment mais je souhaite le faire d'ici quelques années,,Non et je ne souhaite pas demander de formation,,,"Je réponds à la question, même si je suis sceptique sur l'intérêt de certaines formations académiques, souvent décevantes (d’où le non à la question 11) . J'attendrais toutefois d'une formation sur la Spe qu'elle me fournisse des outils en science politique, matière que je ne connais pas bien, hors de mon domaine de compétences ; mais aussi des précisions sur les attendus des exercices à l'écrit (dissertation, étude de doc) et bien sûr du grand oral, et de la façon d'accompagner les élèves aux mieux. Donc, pas de formation spécifique sur la géopolitique, même si cette matière est ignorée de la plupart des collègues (historiens de formation).",Non,Non,Oui,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Non,,Non,,Non,,Non,,Non,,,,,,,,,,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,Non
5,8,2021-06-10 12:09:13,5,fr,1091784735,2021-06-10 12:05:47,2021-06-10 12:09:13,Une femme,25,Académie de Versailles,Agrégé.e externe en géographie,,2019,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Lycée public,L'Essouriau - Les Ulis,Oui,Pas pour le moment mais je souhaite le faire d'ici quelques années,,Non et je souhaite demander une formation,,,"Indications sur la manière de traiter le pgm et les attendus, exemple d'une séquence.",Non,Non,Non,Oui,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Non,,Non,,Non,,Non,,Non,,,,,,,,,,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,Oui
6,9,2021-06-10 12:18:46,5,fr,457005587,2021-06-10 12:07:33,2021-06-10 12:18:46,Un homme,30,Académie de Versailles,Agrégé.e externe en géographie,,,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,,Lycée public,"Lycée de l'Essouriau, les Ulis",Oui,Pas pour le moment mais je souhaite le faire d'ici quelques années,,Autre,Pas de demande de formation car diplômé en géopolitique et en relations internationales.,,,Oui,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Non,,Non,,Non,,Non,,Non,,,,,,,,,,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,Oui
7,10,2021-06-10 12:23:00,5,fr,866388647,2021-06-10 12:19:13,2021-06-10 12:23:00,Un homme,23,Académie de Versailles,Certifié.e,,2019,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Lycée public,,Oui,"Non, par choix",,Non et je ne souhaite pas demander de formation,,,,Non,Non,Non,Oui,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Non,,Non,,Non,,Non,,Non,,,,,,,,,,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Non
8,11,2021-06-10 12:45:27,5,fr,1533203907,2021-06-10 12:20:04,2021-06-10 12:45:27,Un homme,57,Académie de Nantes,Agrégé.e externe en histoire,,,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,"Doctorat d’histoire contemporaine (culturelle, France Ve République) pas achevé ",Lycée public,Lycée Montesquieu Le Mans,Oui,Autre,Et par nécessité (répartition des services),Non et je ne souhaite pas demander de formation,,,,Non,Non,Oui,Oui,en classe de terminale,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Exposés,Oui,"Exposés, plans détaillés en groupes en classe",Oui,Cf. ci  dessus,Oui,ci dessus,Oui,Majoritairement (délais à tenir avant les écrits de mars),Non,,"Programmes nouveaux, souvent intéressants. Approches différentes. Beaucoup de liens avec l’actualité. Plus de temps malgré la lourdeur des programmes.","Programmes souvent pleins d’erreurs et limitatifs (poids des jalons). Thèmes parfois fourre-tout (l’enjeu de la connaissance, S’informer) et mal construits (Patrimoine par ex.). Flou sur les attendus : limiter les thèmes aux jalons et objets de travail conclusifs) ou aller plus loin ( nécessaire pour la dissertation de mars) ? Biais dans les programmes : par ex. la démocratie en Première seulement par Constant et Tocqueville... répétions : les océans en Prêt Terminale ainsi que tronc commun.",Non,,« toute rivalité de pouvoirs sur ou pour du territoire » en suivant Yves Lacoste https://www.vie-publique.fr/parole-dexpert/277002-definir-la-geopolitique-par-yves-lacoste,Oui,Toutes les relations internationales n’incluent pas forcément des rivalités de pouvoirs sur ou pour du territoire. ,Entre 20 et 40%,Oui,Non,Oui,Oui,Niveau insuffisant pour Maths/ Physique ,Non,Oui,Oui,Non,Non,Non,Entre 40 et 80% des élèves de première ont conservé la spécialité HHGSP en terminale,Oui,Non,Oui,Oui,,Non,Non,Non,Oui,Oui,Non,Non,Oui,Oui
9,13,2021-06-10 12:37:48,5,fr,688241606,2021-06-10 12:27:46,2021-06-10 12:37:48,Un homme,36,Académie de Bordeaux,Agrégé.e interne,,2010,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Lycée public,Lycée de Baudre à Agen,Oui,"Oui, par choix",,"Oui, avant que je l’enseigne et je n'ai pas demandé cette formation",,- Présentation des programmes par les IPR et de deux séquences. ,,Non,Non,Non,Oui,en classe de terminale,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Travaux de recherche et exposés. ,Non,,Oui,,Oui,,Non,,Non,,C'est stimulant intellectuellement. ,Cela demande beaucoup de préparation,Oui,- Cela me permet de réutiliser certaines notions. J'ai une autre vision de certains points du programme. ,- Comme l'étude des rapports de force sur un espace. ,Oui,Je ne comprends pas vraiment la question... ,Entre 20 et 40%,Oui,Non,Non,Oui,,Non,Non,Non,Non,Non,Oui,Entre 40 et 80% des élèves de première ont conservé la spécialité HHGSP en terminale,Non,Non,Oui,Oui,,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Oui
